city,monitor_count,ref_count,lcs_count,measure_freq,policy_level,policy_name,policy_year,policy_desc,
Abidjan,2,1,1,Hourly,National,Code de l'Environnement (Environmental Code),1996,"Established to protect the environment from harm, ensuring the ability for all to live in a safe and healthy setting. Outlines the policies surrounding environmental impact assessments to protect and limit harm to the natural environment ",
Accra,23,16,7,Hourly,City,The Greater Accra Metropolitan Areas Air Quality Management Plan,2018,"This document outlines the baseline characteristics of air quality and impacts on human health, as well as proposed air quality standards, an air quality monitoring network, as well as an implementation plan",
Addis Ababa,7,3,4,Hourly,National,Guideline Air Quality Standards,2003,"Provide guideline values for priority ambient atmospheric pollutants, namely sulphur dioxide (SO<sub>2</sub>), nitrogen dioxide (NO<sub>2</sub>), carbon monoxide (CO), ozone (O<sub>3</sub>), particulate matter (PM<sub>10</sub> and PM<sub>2.5</sub>) and lead (Pb). ",
Cape Town,20,18,2,Hourly,City,City of Cape Town Air Quality Management Plan,2005,Comprehensive document that outlines Cape Town's air quality managment objectives and aims for incorporating air quality considerations into other municipal sectors,
Dakar,6,5,1,Hourly,National,The Senegalese Norm NS 05-062,2003,"Provide guideline values for priority ambient atmospheric pollutants, namely sulphur dioxide (SO<sub>2</sub>), nitrogen dioxide (NO<sub>2</sub>), carbon monoxide (CO), ozone (O<sub>3</sub>), particulate matter (PM<sub>10</sub> and PM<sub>2.5</sub>) and lead (Pb). ",
Dar es Salaam,14,5,9,Hourly,National,"The Environmental Management (Air Quality Standards) Regulations
",2007,"Provide guideline values for priority ambient atmospheric pollutants, namely sulphur dioxide (SO<sub>2</sub>), nitrogen dioxide (NO<sub>2</sub>), carbon monoxide (CO), ozone (O<sub>3</sub>), particulate matter (PM<sub>10</sub>) and lead (Pb). ",
eThekwini (Durban),16,15,1 (not currently operational),Hourly,City,AQMP Goals and Implementation Plan,2015,"Comprehensive document that describes development of air quality management policy, an overall strategy/approach to air quality monitoring and management, the scientific evidence and baseline emissions inventories",
Ekurhuleni,9,9,0,Hourly,City,Air Quality Management Plan for the Ekurhuleni Metropolitan Municipality,2005,"A document that identifies priority pollutants, sources, and areas, as well as an air quality monitoring and management framework, and emissions reduction plans.",
Freetown,1,0,1,2-Minutes,National,Environmental Protection Agency Act,2008,Prohibits discharge of any toxic and hazardous substance into the air of Sierra Leone.,
Johannesburg,8,8,0,Hourly,City,City of Johannesburg Air Quality Management Plan,2017,Comprehensive document that outlines how CoJ will improve it's air quality monitoring network and improve environmental governance,
Lagos,1,0,1,2-Minutes,National,National Environmental (Air Quality Control) Regulations,2019,"Provides guidelines related to stationary, mobile, indoor and ambient sources of pollution along with mechanisms for enforcement, including permits and penalties.",
Nairobi,80,3,77,Hourly,City,City of Nairobi Air Quality Action Plan ,2019,"Provide guideline values for priority ambient atmospheric pollutants, namely sulphur dioxide (SO<sub>2</sub>), nitrogen dioxide (NO<sub>2</sub>), carbon monoxide (CO), ozone (O<sub>3</sub>), particulate matter (PM<sub>10</sub> and PM<sub>2.5</sub>) and lead (Pb). ",low cost sensors from sensor.Africa are not currently active
Tshwane,11,9,2,Hourly,City,City of Tshwane Air Quality Management Plan,2006,"Integrated air quality management plan (AQMP) that outlines specific air quality targets, best abatement measures, source inventory, air quality monitoring network, and the human resources capacity needs. <br><br> AQMP update under revision
",